source_id,ra,dec,phot_g_mean_mag,bp_rp_dr3,abs_g_dr3,v_lsr_dr3,period_days,period_support,period_scatter_frac,period_support_fraction,period_class,semi_amplitude_pct,best_fap,max_amplitude_snr,median_crowdsap,ruwe,rv_variable_gaia,nss_gaia,gcns_resolved_binary,multiplicity_indicator
2112434245261736192,273.14924894744274,40.554974308485775,10.660741,0.93625736,5.762044806160548,183.19089664692973,1.6681567431002335,2.0,0.038276149772116894,0.6666666666666666,multi_sector,0.02484645214730223,3.545026915094949e-174,28.967830037480937,0.77646196,0.88644516,False,False,True,True
1080623048803799040,173.09936288962862,76.65233185626438,11.324257,0.93566895,6.365473861802204,308.4856288202842,2.2654792749916406,2.0,0.04037469931091208,0.6666666666666666,multi_sector,0.02788121289293477,3.360632774392211e-19,9.931644276697265,,1.0146627,False,False,False,False
6480032187014809600,316.9110530260907,-47.322216415652555,10.061954,0.890687,5.506959693590938,272.84313242637256,2.3443189665142636,2.0,0.048949465065310255,1.0,multi_sector,0.019145808398667606,4.7959907804458924e-11,8.593395092667722,,1.2980136,False,False,False,False
5380306876026603648,179.61211650285622,-41.923194312330416,8.671574,1.033989,6.1005907132623705,190.29922984076998,3.16865102496423,2.0,0.04736043862798602,0.6666666666666666,multi_sector,0.023263832824045545,6.153655304387734e-110,26.410919371073106,,1.0158236,False,False,True,True
5817597047142573952,252.92249963825466,-64.44088517483449,10.69972,0.9424772,6.1862343268309985,369.7033664764633,3.182341576118138,2.0,0.037582328055225336,0.6666666666666666,multi_sector,0.019112552584425943,4.091907416215107e-45,15.601257918384889,,1.135648,False,False,False,False
222749343414443648,52.227698158214295,37.37771073269072,10.503306,1.6685028,8.33886176258465,256.59741467414415,3.2086519779294758,1.0,,1.0,strong_single_sector,0.07413523880857321,1.1864100682771257e-110,30.056630279154405,,1.2250491,False,False,False,False
1159108770069883136,220.8208523422054,5.827714817840055,10.287601,0.9029188,5.751741768409827,358.0115995479578,3.284030030139203,1.0,,1.0,strong_single_sector,2.730383841701289,1.204617271980442e-56,19.650193381935093,,1.1841315,False,False,True,True
219057458247921536,60.82191799513742,35.26721591490448,8.232109,1.1071048,6.895772549821544,181.976707212195,3.483183675350923,2.0,0.05183825409522264,1.0,multi_sector,0.023587089111187842,1.2375101232998684e-118,24.048381189482534,,1.011684,False,False,False,False
1752459532807704704,306.5501857777481,9.44768215739918,8.208568,0.6925416,4.537280153013956,270.52766358855166,3.75337166871945,2.0,0.02541436939713191,1.0,multi_sector,0.032372993734028244,8.662437571289342e-77,23.38078390679844,,0.9176374,False,False,False,False
6859076107589173120,305.9019419109551,-21.375315743005014,8.495108,0.76181793,5.091049763575445,302.03403528893244,3.8509466168308304,1.0,,1.0,strong_single_sector,0.014661861881299464,7.420669911482433e-19,10.896097775078202,,1.007704,False,False,False,False
3510294882898890880,193.31412386012587,-18.52576297121057,8.225391,0.7535825,3.7829897071372223,343.1755093574239,3.8910627680750487,2.0,0.04909127786027652,1.0,multi_sector,0.032764193699464435,7.340838015547197e-45,15.18463782881707,,1.0295392,True,False,False,True
2075007556661946880,302.2566136214903,42.866770295713735,9.94512,0.7414284,5.298095715902793,227.532337717887,4.03931289833729,2.0,0.05245708889820759,1.0,multi_sector,0.011062316801595869,1.680105901601607e-20,10.930387819383386,0.88645244,0.8849542,False,False,False,False
235423517026072960,49.11592382333352,38.09413919149562,10.170526,1.5041771,7.756674285423909,246.3601390195239,4.221051175359999,1.0,,1.0,strong_single_sector,0.06582760761136652,5.6413853630553106e-43,17.592082921396603,,1.251385,False,False,False,False
3284151179589287680,66.44554586374454,5.265524791291075,11.450399,1.0978632,6.785349465627643,210.69076652977702,5.567845040346827,1.0,,1.0,strong_single_sector,0.050058654348170105,1.1643488043334006e-29,13.550424019673647,,0.77677953,False,False,False,False
112440873718983680,47.10557817954636,26.327257391768505,7.904065,0.689538,4.968109685843947,209.89882391550927,5.965821983848286,1.0,,1.0,strong_single_sector,0.006541164021552762,5.8409691340066035e-24,11.65980193553259,,1.0054765,False,False,False,False
1342299192648782592,264.9008556626904,37.18010317874457,8.238589,0.7684307,4.449533633077472,269.06551390679357,6.150073242187501,3.0,0.03998533947793101,1.0,multi_sector,0.033059148016869384,1.627621224472378e-109,23.465264514278914,,0.8326499,False,False,False,False
6307365499463905536,227.5493943951268,-16.478656567541872,9.156363,1.1070814,6.815455189244727,594.0932603310223,6.218259336680518,1.0,,1.0,strong_single_sector,0.026152825068102358,7.110827169756141e-47,15.72118503907133,,1.2100414,False,False,True,True
4761346872572913408,78.28021428266779,-59.64333985417638,9.279641,0.71293354,4.972550902283949,423.206988195921,6.226763289597686,2.0,0.05243566691856793,0.6666666666666666,multi_sector,0.03391047089565123,6.981689697811722e-78,19.450758499656214,,0.8443247,False,False,False,False
615943806835727872,147.23546398620073,13.740817568463399,8.206721,0.6061897,3.8580416059675517,301.6084804372698,6.613702507029726,1.0,,1.0,strong_single_sector,0.02942909502749998,0.0,42.96597129137736,,1.0988324,False,False,False,False
523313040665475968,17.123653708587792,63.5152601027932,11.230818,1.1330242,6.846341941884532,375.7759940988178,7.573492533929276,2.0,0.015063157155980753,0.6666666666666666,multi_sector,0.04784122804187844,4.0045440829297764e-31,12.763920617208372,,0.9138732,False,False,False,False
4517777421819724416,285.1794079624554,19.07207284545962,9.912688,0.9087677,5.719489623385739,201.03905524202435,7.840480325065519,2.0,0.05250128609888503,0.6666666666666666,multi_sector,0.021182122616649705,2.7091425488160256e-65,19.377497043906622,,0.9208778,False,False,False,False
170216567626711296,61.55261993249993,32.947175569252565,9.645971,1.2487383,6.856351511008402,197.02397454822886,7.889476058110311,1.0,,1.0,strong_single_sector,4.6255116586234815,0.0,69.3839184846402,,0.96967554,False,False,False,False
6307374845312759552,227.54990698061226,-16.395153824967906,8.827628,1.0121584,6.486139793555541,593.953607741439,8.038237679123595,1.0,,1.0,strong_single_sector,0.014170934998973506,1.3514903273864252e-16,9.841823603179286,,0.9323361,False,False,True,True
1286024744429754752,220.1408728185984,31.47588678774106,11.22292,1.5436964,7.628819556917723,218.4266990522169,8.600395300687197,2.0,0.008766939596057653,0.6666666666666666,multi_sector,0.04692016044140717,1.2701841939600545e-34,14.977146273103989,,1.2046673,False,False,False,False
